CNTSCHID,CNT,STRATUM,SCHSIZE,CLSIZE,STRATIO,SCHLTYPE,REGION,OECD,AGE,ST004D01T,Gender,ISCEDL,ISCEDD,ISCEDO,TEACHSUP,PARED,HEDRES,MISCED,FISCED,HISCED,WEALTH,ESCS,INTBRSCI,INSTSCIE,SCIEEFF,SCIEACT,JOYSCIE,ICTRES,HOMEPOS,HEDRES,CULTPOSS,PV1MATH,PV1READ,PV1SCIE,PV1SCEP,PV1SCED,PV1SCID,PV1SKCO,PV1SKPE,PV1SSPH,PV1SSLI,PV1SSES,AREA
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.33,1,Girls,3,1,1,0.7131,3,-1.9024,0,0,0,-3.6264,-3.6551,NA,1.0728,-0.7205,NA,1.6903,-2.5873,-3.5084,-1.9024,-1.6287,479.898,511.44,547.094,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.58,1,Girls,3,1,1,0.4326,5,-1.4299,0,1,1,-3.6264,-3.0568,NA,0.8155,0.2971,NA,0.8904,-2.5873,-3.0498,-1.4299,-0.2031,435.907,496.214,531.374,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.83,1,Girls,3,1,1,-0.5665,12,-0.1108,2,4,4,-1.6792,-0.0862,NA,1.1325,0.5214,NA,1.3396,-1.0259,-1.2243,-0.1108,-0.222,577.237,646.144,634.274,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.83,1,Girls,3,1,1,0.1452,12,-1.718,0,4,4,-2.399,-1.8494,NA,0.7648,-0.2297,NA,1.0637,-1.9305,-2.4235,-1.718,-0.1661,527.242,646.119,642.401,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,16.17,1,Girls,3,1,1,0.2371,5,-1.1119,0,1,1,-3.2539,-2.9287,NA,0.3708,1.0083,NA,1.3396,-2.2825,-2.3077,-1.1119,0.6093,602.353,548.828,646.156,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.58,1,Girls,3,1,1,-0.504,5,-1.4432,1,1,1,-1.6185,-2.6957,NA,0.7648,0.0851,NA,1.3705,-1.1957,-1.6736,-1.4432,0.0433,378.611,488.472,486.315,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,16.17,1,Girls,3,1,1,1.4475,3,-2.1544,0,0,0,-2.2447,-3.3107,NA,0.3708,-0.8894,NA,0.5094,-1.9305,-2.5712,-2.1544,-1.6287,400.984,472.896,469.579,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.58,1,Girls,3,1,1,1.4475,3,-1.8245,0,0,0,-4.6185,-3.8384,NA,0.8732,-0.4136,NA,0.5094,-2.5873,-4.0072,-1.8245,-1.6287,478.714,530.567,532.926,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,16.08,1,Girls,3,1,1,-0.2618,17,-1.4432,1,6,6,-2.8036,-1.3776,NA,0.3708,-0.3932,NA,0.5094,-2.5873,-2.7422,-1.4432,-0.4945,423.085,453.125,493.179,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,16.25,1,Girls,3,1,1,-0.1133,9,0.0321,1,2,2,-2.4169,-2.0166,NA,-0.0948,0.9777,NA,0.8061,-1.6746,-2.0522,0.0321,-1.6287,435.456,493.486,485.031,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.42,1,Girls,3,1,1,0.4326,5,-1.8677,0,1,1,-4.4797,-3.1275,NA,1.0728,0.1559,NA,0.5094,-3.1198,-2.8486,-1.8677,0.0058,437.487,496.541,512.684,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.67,1,Girls,3,1,1,-0.3068,9,-1.4432,2,2,2,-2.3272,-2.416,NA,0.0125,-0.1859,NA,-0.3522,-2.0614,-2.4641,-1.4432,-1.6287,395.968,437.61,422.002,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.42,1,Girls,3,1,1,0.4922,17,-1.4432,2,6,6,-1.6512,0.5316,NA,0.8155,-0.3991,NA,0.8433,-1.7241,-1.8766,-1.4432,-0.4343,347.649,434.084,478.647,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.5,1,Girls,3,1,1,0.5731,12,-0.1108,4,4,4,-0.9049,0.0187,NA,-0.5375,-0.584,NA,-0.4593,-0.5305,-0.9388,-0.1108,-1.6287,478.861,515.507,561.505,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.5,1,Girls,3,1,1,-0.5092,3,-1.1119,0,0,0,-3.5256,-3.3627,NA,-0.7778,-1.8156,NA,0.5094,-3.2718,-2.7126,-1.1119,-0.2598,412.361,520.715,506.051,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.83,1,Girls,3,1,1,-0.1164,5,-1.3821,1,0,1,-2.3369,-2.9809,NA,0.3708,0.3155,NA,0.5094,-2.0167,-2.4497,-1.3821,-0.831,377.56,426.732,463.36,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.33,1,Girls,3,1,1,1.4475,5,-1.9024,0,1,1,-3.6264,-3.1326,NA,0.9798,-0.7089,NA,0.5094,-2.5873,-2.8625,-1.9024,0.0058,426.647,482.737,531.923,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.58,1,Girls,3,1,1,-0.0108,9,-1.4432,2,2,2,-2.15,-2.214,NA,1.356,-0.5453,NA,0.5094,-2.1424,-1.9147,-1.4432,0.2162,423.654,473.905,516.773,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.83,1,Girls,3,1,1,0.4326,12,-1.4299,2,4,4,-2.8036,-2.1321,NA,0.3708,-0.1743,NA,0.8225,-2.5873,-2.8555,-1.4299,-1.6287,504.144,537.396,548.541,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.58,1,Girls,3,1,1,0.0522,12,-0.6281,1,4,4,-1.6006,-0.2724,NA,0.3708,0.1401,NA,1.2596,-1.1173,-1.3938,-0.6281,-0.2285,390.555,485.361,453.417,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.92,1,Girls,3,1,1,-0.5066,9,-0.7218,2,2,2,-0.8329,-1.228,NA,-0.5739,-0.6936,NA,-2.1154,-0.2903,-0.7496,-0.7218,0.0058,481.353,507.209,506.663,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,16.08,2,Boys,3,1,1,0.0322,9,-1.7837,1,2,2,-2.6493,-2.2059,NA,1.0218,0.2785,NA,1.2596,-1.9305,-2.6234,-1.7837,-0.831,612.829,566.902,586.511,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.83,2,Boys,3,1,1,0.0488,12,-0.1108,4,4,4,-2.0105,-1.3481,NA,1.1151,1.2591,NA,1.6681,-1.6506,-1.0596,-0.1108,2.1655,465.821,441.451,518.511,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.75,2,Boys,3,1,1,1.4475,12,0.0321,4,4,4,-0.7491,-0.3225,NA,0.3708,-0.7457,NA,0.5094,-0.1135,-0.6865,0.0321,-0.4343,379.032,446.803,457.018,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,16.25,2,Boys,3,1,1,-0.0867,5,-1.3821,0,1,1,-2.2396,-2.9251,NA,0.7648,-0.1908,NA,-0.5219,-1.7241,-2.2979,-1.3821,-0.4945,516.942,507.6,579.37,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.92,2,Boys,3,1,1,0.1445,17,-0.1108,2,6,6,-0.9406,0.8554,NA,0.3708,-0.5861,NA,0.5094,-1.567,-0.9955,-0.1108,-0.9969,520.631,556.443,584.092,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.83,2,Boys,3,1,1,0.9133,17,-0.1108,1,6,6,-2.9382,0.1097,NA,0.3708,-0.252,NA,0.1458,-2.2279,-2.2936,-0.1108,-1.6287,461.02,485.493,527.116,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.75,2,Boys,3,1,1,0.2551,5,-0.1108,0,1,1,-3.1196,-2.9105,NA,0.267,-0.4241,NA,1.1249,-2.2825,-2.258,-0.1108,-0.7039,717.853,688.112,743.576,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.5,2,Boys,3,1,1,1.4475,5,-1.4682,1,1,1,-2.2839,-2.9763,NA,0.3708,1.8041,NA,2.1635,-1.5244,-2.4371,-1.4682,-1.6287,621.522,668.632,699.991,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,16.08,2,Boys,3,1,1,-0.376,9,-1.1119,1,2,2,-2.7629,-2.4044,NA,0.3708,-0.5541,NA,0.5094,-2.5873,-2.4328,-1.1119,-0.2598,476.567,453.162,492.405,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.42,2,Boys,3,1,1,0.0355,9,-1.8245,1,2,2,-4.5167,-2.8363,NA,0.5848,1.4958,NA,-0.3398,-3.2718,-3.608,-1.8245,-0.0071,475.511,539.583,556.518,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.83,2,Boys,3,1,1,0.2588,3,-1.7837,0,0,0,-4.5167,-3.3531,NA,0.8155,0.5628,NA,0.8904,-3.2718,-3.3612,-1.7837,0.2834,438.184,460.579,554.405,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400002,VNM,VNM0313,421,53,12.0286,3,SOUTH,0,15.67,2,Boys,3,1,1,-0.0272,9,-1.5262,1,2,2,-3.6264,-2.7313,NA,0.7648,0.9918,NA,0.5094,-2.5873,-3.3223,-1.5262,-0.4504,490.766,469.221,570.591,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.75,1,Girls,3,1,1,0.5503,12,-1.1119,4,4,4,-3.2158,-2.0623,NA,0.3708,-0.584,NA,0.8931,-2.5873,-2.6655,-1.1119,-0.4945,525.133,519.97,575.858,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,16.25,1,Girls,3,1,1,0.7131,9,-1.7275,1,2,2,-2.8519,-2.4932,NA,1.0388,0.3262,NA,2.1635,-2.2825,-3.1804,-1.7275,-1.6287,625.173,600.529,619.577,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,16.25,1,Girls,3,1,1,0.3612,5,-0.1108,1,1,1,-2.5434,-2.7473,NA,1.7359,1.2065,NA,1.5791,-2.2825,-1.8139,-0.1108,0.2162,499.327,531.1,517.613,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.83,1,Girls,3,1,1,0.5683,9,-0.1108,2,2,2,-1.7506,-1.9754,NA,0.3708,-0.3726,NA,0.5094,-1.0838,-1.2653,-0.1108,0.6093,545.869,603.085,587.948,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,16.17,1,Girls,3,1,1,-0.4081,9,-1.6393,2,2,2,-2.0697,-2.0992,NA,0.8545,-0.1904,NA,0.5094,-1.5244,-2.2207,-1.6393,-1.6287,573.396,557.947,544.912,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,16.25,1,Girls,3,1,1,0.0792,5,-1.4432,1,1,1,-3.1196,-2.9817,NA,1.2423,-0.3747,NA,0.5094,-2.2825,-2.4519,-1.4432,-0.4343,523.71,511.955,601.998,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.33,1,Girls,3,1,1,0.5503,12,-1.4432,4,2,4,-2.5819,-1.9217,NA,0.0125,-0.0325,NA,-0.8208,-2.0614,-2.2831,-1.4432,-0.4343,572.387,483.089,574.222,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.42,1,Girls,3,1,1,1.4475,12,-1.3161,4,NA,4,-7.6352,-2.3639,NA,-0.2874,0.2912,NA,2.1635,-2.641,-3.4862,-1.3161,-0.0071,553.742,500.362,567.748,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.42,1,Girls,3,1,1,0.3028,9,-1.4432,2,2,2,-3.7871,-2.3547,NA,1.1151,0.4788,NA,1.1074,-3.2718,-2.2975,-1.4432,0.7777,458.032,462.484,460.65,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.58,1,Girls,3,1,1,-0.1164,9,-1.3738,2,2,2,-3.1471,-2.5562,NA,0.3708,-0.2275,NA,0.5094,-3.2718,-2.8457,-1.3738,-0.0071,442.622,490.038,444.35,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.33,1,Girls,3,1,1,-0.1164,9,-1.4432,2,2,2,-2.8036,-2.5533,NA,0.7429,-0.8786,NA,0.8061,-2.5873,-2.8378,-1.4432,-0.4504,413.535,463.693,485.144,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.5,1,Girls,3,1,1,-0.2616,9,-2.1409,2,NA,2,-5.9654,-2.8965,NA,1.0728,0.7682,NA,0.8551,-3.2718,-3.7716,-2.1409,-0.4343,490.963,443.354,490.73,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.83,1,Girls,3,1,1,1.4475,9,-1.4432,2,2,2,-4.5167,-2.5772,NA,1.7359,0.5159,NA,0.5094,-3.2718,-2.903,-1.4432,0.6093,518.634,557.534,510.823,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.5,1,Girls,3,1,1,0.9133,5,-1.0348,1,1,1,-4.5167,-3.1608,NA,-0.0575,-1.2366,NA,1.3369,-2.641,-2.9392,-1.0348,-0.0071,432.279,466.371,527.964,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.92,1,Girls,3,1,1,0.6426,12,-1.1119,4,4,4,-4.5167,-1.949,NA,0.0125,-1.3934,NA,0.5094,-3.2718,-3.0882,-1.1119,-0.7273,487.885,489.059,538.585,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.92,1,Girls,3,1,1,0.5683,12,-1.4432,4,4,4,-3.2158,-2.0204,NA,-1.4463,-0.2715,NA,0.931,-2.5873,-2.5517,-1.4432,0.2162,481.764,466.719,465.765,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.42,1,Girls,3,1,1,0.3758,5,-1.718,1,1,1,-4.6172,-3.2739,NA,-0.2227,0.5266,NA,0.5094,-2.5873,-3.2469,-1.718,-0.2598,404.247,423.457,423.371,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.42,1,Girls,3,1,1,1.4475,12,-2.1409,2,4,4,-2.7379,-1.7131,NA,0.3708,-0.3726,NA,0.5094,-2.2825,-2.7274,-2.1409,0.2162,533.517,521.434,495.213,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,16.25,2,Boys,3,1,1,1.4475,9,-1.718,2,1,2,-1.6512,-2.0994,NA,0.8545,-0.221,NA,1.3058,-1.7241,-1.6027,-1.718,0.7777,596.951,578.261,638.91,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.67,2,Boys,3,1,1,0.4326,12,-0.7218,4,4,4,-1.8063,-0.3216,NA,0.5848,-0.7502,NA,0.5094,-1.5244,-1.5276,-0.7218,0.0636,667.485,628.683,638.661,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.75,2,Boys,3,1,1,-0.1004,12,-1.4432,4,2,4,-1.6419,-1.4476,NA,1.0388,-0.7031,NA,2.1635,-1.0838,-1.9488,-1.4432,-1.6287,516.907,437.73,483.661,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.67,2,Boys,3,1,1,1.4475,9,-1.3738,2,1,2,-3.1196,-2.5166,NA,0.4152,-0.8827,NA,0.8225,-2.2825,-2.7379,-1.3738,-0.831,593.495,553.42,624.522,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.75,2,Boys,3,1,1,-0.1164,12,-2.412,4,4,4,-1.941,-1.9731,NA,1.1151,2.3674,NA,2.1635,-1.4336,-2.4228,-2.412,-0.0071,501.917,530.233,576.201,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.5,2,Boys,3,1,1,0.1946,5,-1.4432,1,0,1,-3.1196,-3.0043,NA,-0.2552,-0.2656,NA,-0.2121,-2.2825,-2.5132,-1.4432,0.0058,574.115,548.037,638.91,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.33,2,Boys,3,1,1,0.4326,9,0.6645,0,2,2,-2.9104,-2.0822,NA,0.3708,-0.5729,NA,0.5094,NA,-1.556,0.6645,NA,478.475,558.119,547.657,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,16.25,2,Boys,3,1,1,0.5503,5,-1.0496,1,1,1,-1.7348,-2.1915,NA,0.7648,0.9627,NA,0.5094,-1.5916,-1.2574,-1.0496,0.7777,532.979,458.089,548.652,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.58,2,Boys,3,1,1,0.2407,5,-1.4432,1,1,1,-2.2254,-2.7653,NA,0.8545,0.9342,NA,1.3705,-1.567,-1.8629,-1.4432,0.2834,430.81,464.973,470.594,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400003,VNM,VNM0208,1277,38,16.8026,3,CENTRAL,0,15.42,2,Boys,3,1,1,0.0798,5,-0.7218,1,1,1,-1.4765,-2.5964,NA,-0.2874,-0.6836,NA,0.5094,-1.5244,-1.4035,-0.7218,-0.2031,508.003,553.985,536.219,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
